class,nameEnglish,nameChinese
Mage,Kahlii,卡莉
Tank,Taara,塔拉
Mage,Mganga,穆加爵
Support,Alice,愛麗絲
Tank,Ormarr,渥馬爾
Mage,Krixi,克里希
Marksman,Valhein,凡恩
Tank,Thane,薩尼
Mage,Veera,薇拉
Mage,Azzen'Ka,阿茲卡
Tank,Toro,牛魔王
Warrior,Zephys,瑟斐斯
Tank,Mina,美娜
Warrior,Zanis,趙雲
Marksman,Yorn,勇
Warrior,Lu Bu,呂布
Tank,Omega,歐米茄
Assassin,Butterfly,刀鋒寶貝
Mage,Gildur,哥德爾
Tank,Chaugnar,查戈納爾
Marksman,Violet,堇
Mage,Diaochan,貂蟬
Assassin,Nakroth,納克羅斯
Support,Grakk,夸克
Marksman,Fennik,菲尼克
Mage,Aleister,阿萊斯特
Support,Lumburr,朗博
Support,Cresht,克萊斯
Mage,Natalya,娜塔亞
Mage,Jinnar,金納
Support,Helen,海倫
Warrior,Maloch,馬洛斯
Assassin,Wukong,悟空
Mage,Ilumia,盧蜜亞
Warrior,Arthur,莫托斯
Assassin,Kriknak,科里納卡
Warrior,Airi,愛里
Mage,Preyta,普雷塔
Assassin,Kaine,凱恩
Marksman,Slimz,史蘭茲
Assassin,Raz,拉茲
Warrior,Skud,司科德
Mage,Lauriel,蘿兒
Warrior,Zuka,祖卡
Mage,Ignis,伊耿士
Assassin,Murad,莫拉
Marksman,Stuart,森圖爾特
Assassin,Zill,齊爾
Marksman,Tel'Annas,特爾安娜斯
Warrior,Kil'Groth,凱格路士
Tank,Arduin,阿杜恩
Warrior,Astrid,艾翠絲
Warrior,Ryoma,龍馬
Tank,Xeniel,贊尼爾
Warrior,Superman,超人
Warrior,Wonder Woman,神力女超人
Marksman,Lindis,琳蒂
Mage,Tulen,圖倫
Support,TeeMee,提米
Warrior,Omen,夜叉
Tank,Max,麥克斯
Mage,Liliana,莉莉安
Marksman,Wisp,靈靈
Assassin,The Flash,閃電俠
Warrior,Rourke,洛克
Support,Arum,艾瑞
Mage,Marja,瑪迦
Tank,Baldum,伯頓
Tank,Roxie,諾可西
Warrior,Amily,艾蜜莉
Support,Annette,安奈特
Tank,Y'bneth,古木
Warrior,Riktor,瑞克
Tank,Wiro,維羅
Marksman,Elsu,蘇
Assassin,Quillen,奎倫
Mage,Sephera,瀾
Warrior,Veres,緋淚
Mage,D'Arcy,達爾西
Marksman,Capheny,卡芬尼
Warrior,Florentino,弗洛倫
Marksman,Hayate,亥犽
Warrior,Errol,埃羅
Warrior,Yena,葉娜
Assassin,Enzo,銀晝
Support,Zip,皮皮
Warrior,Qi,筱清
Marksman,Brunhilda,希露卡
Mage,Ishar,依夏
Warrior,Volkath,安格列
Support,Krizzix,卡瑞茲
Marksman,Eland'orr,蘭鐸
Mage,Dirak,狄拉克
Assassin,Keera,綺蘿
Tank,Ata,阿塔
Assassin,Paine,潘因
Warrior,Allain,亞連
Marksman,Laville,拉維爾
Support,Rouie,若伊
Assassin,Zata,颯枷
Marksman,Thorne,索文
Assassin,Sinestrea,蘇離
Warrior,Dextra,夜姬
Mage,Lorion,洛里昂
Assassin,Bright,布萊特
Assassin,Aoi,星葵
Mage,Iggy,伊格
Warrior,Tachi,霧己
Support,Aya,芽芽
Mage,Yue,令月
Warrior,Yan,青硯
Marksman,Teeri,緹莉
Mage,Bonnie,邦尼
Warrior,Bijan,貝揚
Support,Ming,明世隱
Marksman,Erin,艾琳
Warrior,Charlotte,夏洛特
Support,Dolia,朵莉亞
Warrior,Biron,狂鐵
Warrior,Bolt Baron,司空震
Assassin,Billow,比洛爾
Mage,Heino,海諾
Mage,Goverra,歌芙拉
Warrior,Edras,布萊恩
Support,Dyadia,少司緣
Marksman,Moren,摩恩
Marksman,Flowborn Marksman,元流之子射手
Mage,Flowborn Mage,元流之子法師
Warrior,Tamyn,拓冥
